code,name,utf8
U+2696,balance scale,0xE2 0x9A 0x96,
U+1F5DC,clamp,0xF0 0x9F 0x97 0x9C,
U+2699,gear,0xE2 0x9A 0x99,
U+1F529,nut and bolt,0xF0 0x9F 0x94 0xA9,
U+1FA9B,screwdriver,0xF0 0x9F 0xAA 0x9B,
U+1F527,wrench,0xF0 0x9F 0x94 0xA7,
U+1FA9A,carpentry saw,0xF0 0x9F 0xAA 0x9A,
U+1F6E1,shield,0xF0 0x9F 0x9B 0xA1,
U+1F3F9,bow and arrow,0xF0 0x9F 0x8F 0xB9,
U+1FA83,boomerang,0xF0 0x9F 0xAA 0x83,
U+1F52B,water pistol,0xF0 0x9F 0x94 0xAB,
U+2694,crossed swords,0xE2 0x9A 0x94,
U+1F5E1,dagger,0xF0 0x9F 0x97 0xA1,
U+1F6E0,hammer and wrench,0xF0 0x9F 0x9B 0xA0,
U+2692,hammer and pick,0xE2 0x9A 0x92,
U+26CF,pick,0xE2 0x9B 0x8F,
U+1FA93,axe,0xF0 0x9F 0xAA 0x93,
U+1F528,hammer,0xF0 0x9F 0x94 0xA8,
U+1F5DD,old key,0xF0 0x9F 0x97 0x9D,
U+1F511,key,0xF0 0x9F 0x94 0x91,
U+1F510,locked with key,0xF0 0x9F 0x94 0x90,
U+1F50F,locked with pen,0xF0 0x9F 0x94 0x8F,
U+1F513,unlocked,0xF0 0x9F 0x94 0x93,
U+1F512,locked,0xF0 0x9F 0x94 0x92,
U+1F5D1,wastebasket,0xF0 0x9F 0x97 0x91,
U+1F5C4,file cabinet,0xF0 0x9F 0x97 0x84,
U+1F5C3,card file box,0xF0 0x9F 0x97 0x83,
U+2702,scissors,0xE2 0x9C 0x82,
U+1F4D0,triangular ruler,0xF0 0x9F 0x93 0x90,
U+1F4CF,straight ruler,0xF0 0x9F 0x93 0x8F,
U+1F587,linked paperclips,0xF0 0x9F 0x96 0x87,
U+1F4CE,paperclip,0xF0 0x9F 0x93 0x8E,
U+1F4CD,round pushpin,0xF0 0x9F 0x93 0x8D,
U+1F4CC,pushpin,0xF0 0x9F 0x93 0x8C,
U+1F4CB,clipboard,0xF0 0x9F 0x93 0x8B,
U+1F4CA,bar chart,0xF0 0x9F 0x93 0x8A,
U+1F4C9,chart decreasing,0xF0 0x9F 0x93 0x89,
U+1F4C8,chart increasing,0xF0 0x9F 0x93 0x88,
U+1F4C7,card index,0xF0 0x9F 0x93 0x87,
U+1F5D3,spiral calendar,0xF0 0x9F 0x97 0x93,
U+1F5D2,spiral notepad,0xF0 0x9F 0x97 0x92,
U+1F4C6,tear-off calendar,0xF0 0x9F 0x93 0x86,
U+1F4C5,calendar,0xF0 0x9F 0x93 0x85,
U+1F5C2,card index dividers,0xF0 0x9F 0x97 0x82,
U+1F4C2,open file folder,0xF0 0x9F 0x93 0x82,
U+1F4C1,file folder,0xF0 0x9F 0x93 0x81,
U+1F4BC,briefcase,0xF0 0x9F 0x92 0xBC,
U+1F4DD,memo,0xF0 0x9F 0x93 0x9D,
U+1F58D,crayon,0xF0 0x9F 0x96 0x8D,
U+1F58C,paintbrush,0xF0 0x9F 0x96 0x8C,
U+1F58A,pen,0xF0 0x9F 0x96 0x8A,
U+1F58B,fountain pen,0xF0 0x9F 0x96 0x8B,
U+2712,black nib,0xE2 0x9C 0x92,
U+270F,pencil,0xE2 0x9C 0x8F,
U+1F5F3,ballot box with ballot,0xF0 0x9F 0x97 0xB3,
U+1F4EE,postbox,0xF0 0x9F 0x93 0xAE,
U+1F4ED,open mailbox with lowered flag,0xF0 0x9F 0x93 0xAD,
U+1F4EC,open mailbox with raised flag,0xF0 0x9F 0x93 0xAC,
U+1F4EA,closed mailbox with lowered flag,0xF0 0x9F 0x93 0xAA,
U+1F4EB,closed mailbox with raised flag,0xF0 0x9F 0x93 0xAB,
